track_title,album_name,artist,release_year,song_length_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,Mood,decade
I'm So Glad I Fell For You,The Ultimate Collection: David Ruffin,David Ruffin,1998-01-01,186973,10,0.291,0.182,0.541,0.103,0.355,-7.993,0.0411,0.645,185.039,3,0,1960
No Time,The Best Of The Guess Who,The Guess Who,1971,219426,42,0.484,0.0795,0.477,5.09e-06,0.0548,-13.849,0.0598,0.122,128.265,4,1,1960
Monster/Suicide/America,Monster,Steppenwolf,1969,556426,0,0.411,0.155,0.541,3.68e-05,0.113,-12.341,0.0454,0.375,111.463,4,1,1960
Tonight I'll Say a Prayer,The Hits of Steve Lawrence & Eydie Gorme,Steve Lawrence,2011-09-01,199038,2,0.248,0.57,0.364,0.0,0.178,-11.606,0.0367,0.288,201.495,3,1,1960
Hey There Lonely Girl,I Love You,Eddie Holman,1969-01-01,216760,47,0.389,0.693,0.322,2.08e-06,0.0814,-10.923,0.0282,0.343,94.007,3,1,1960
I'm Tired - Where Am I,A Step Further,Savoy Brown,1969-01-01,305200,0,0.627,0.725,0.257,0.00538,0.107,-16.129,0.043,0.263,109.335,4,1,1960
Do I Love You (Indeed I Do),"The Complete Motown Singles, Volume 5: 1965",Various Artists,2006-01-01,152160,0,0.55,0.287,0.937,1.35e-05,0.263,-1.866,0.0556,0.762,133.536,4,0,1960
Love Bones,Chronicle: The 20 Greatest Hits,Johnnie Taylor,1977-01-01,245626,8,0.505,0.723,0.338,2.68e-05,0.0635,-17.295,0.0539,0.942,207.553,4,0,1960
Lady-O - Remastered,All the Singles,The Turtles,2016-08-19,172293,11,0.238,0.8,0.139,0.022,0.114,-14.901,0.0322,0.186,92.408,4,1,1960
Is It Because I'm Black,Is It Because I'm Black,Syl Johnson,1969-01-01,454853,48,0.755,0.33,0.528,0.0,0.142,-8.946,0.072,0.883,135.104,4,0,1960
Look-Ka Py Py,The Essentials: The Meters,The Meters,2005-03-29,198333,22,0.677,0.112,0.822,0.306,0.44,-12.367,0.0847,0.929,174.466,4,0,1960
Together,Gold,Connie Francis,2005-01-01,173573,0,0.324,0.91,0.316,0.0075,0.135,-11.163,0.0336,0.265,116.339,3,1,1960
Six White Horses,Six White Horses,Tommy Cash,1970-03-04,170080,34,0.585,0.793,0.455,0.000132,0.135,-11.542,0.0392,0.513,83.323,4,1,1960
Come Saturday Morning,Come Saturday Morning,The Sandpipers,1970-08-31,185800,36,0.168,0.265,0.593,0.00121,0.189,-10.781,0.0387,0.718,155.247,3,0,1960
"To Be Young, Gifted and Black - 2005 Remix","Forever Young, Gifted And Black: Songs Of Freedom And Spirit",Nina Simone,2006-01-16,169840,45,0.563,0.625,0.341,0.000249,0.137,-8.445,0.0309,0.712,79.148,3,0,1960
Bold Soul Sister,Sing The Blues,Ike & Tina Turner,2008-10-21,152466,0,0.697,0.56,0.765,5.68e-05,0.186,-8.945,0.0357,0.951,94.83,4,2,1960
I'm Gonna Love You,The Best of Super Rare Soul,Various Artists,2013-05-21,133486,10,0.555,0.809,0.824,0.0,0.648,-8.175,0.0446,0.946,129.758,4,0,1960
Voodoo Woman - 1991 Digital Remaster,Honey - The Best of Bobby Goldsboro,Bobby Goldsboro,1991,134640,0,0.688,0.399,0.637,0.0,0.225,-11.626,0.0902,0.726,108.101,4,0,1960
A World Without Music,There's Gonna Be A Showdown,Archie Bell & The Drells,1969,137013,3,0.798,0.283,0.712,9.26e-06,0.377,-6.16,0.0972,0.914,124.767,4,0,1960
"He Ain't Heavy, He's My Brother",Super Hits,The Hollies,1967,257839,52,0.309,0.409,0.441,1.73e-05,0.513,-6.524,0.0291,0.217,75.734,4,1,1960
Theme From Electric Surfboard,Down Home Style,Jack McDuff,1997-01-01,214226,20,0.499,0.29,0.648,0.592,0.111,-5.04,0.0318,0.625,98.367,4,2,1960
Mr. Limousine Driver - Remastered,Grand Funk (Red Album) [Remastered],Grand Funk Railroad,2002-01-01,267293,30,0.299,0.0137,0.601,0.124,0.257,-8.185,0.0304,0.487,177.442,4,0,1960
The Gangs Back Again,Kool And The Gang,Kool & The Gang,1970-01-01,164906,15,0.649,0.192,0.754,0.227,0.115,-13.793,0.0525,0.508,105.093,4,0,1960
Guess Who,Early Winters,Ruby Winters,2009-06-09,182494,1,0.302,0.865,0.351,0.156,0.342,-10.676,0.0523,0.191,185.046,3,1,1960
The Thrill Is Gone,Deuces Wild,B.B. King,1997-01-01,301133,0,0.693,0.0854,0.489,0.00234,0.131,-9.709,0.0316,0.262,87.085,4,0,1960
"Sugar, Sugar","The Very Best Of ""The Archies""",The Archies,2007-11-07,167186,67,0.736,0.466,0.871,0.0,0.108,-2.786,0.0278,0.967,122.395,4,2,1960
Suspicious Minds,From Elvis in Memphis,Elvis Presley,1969-06-17,261279,72,0.487,0.0422,0.382,4.74e-06,0.411,-10.889,0.0309,0.714,116.557,4,0,1960
Try A Little Kindness,Try A Little Kindness,Glen Campbell,1970-01-01,146293,46,0.323,0.31,0.666,0.0,0.163,-5.925,0.0335,0.734,176.455,4,0,1960
Undun,The Best Of The Guess Who,The Guess Who,1971,206306,44,0.559,0.442,0.377,2.64e-06,0.298,-15.746,0.0321,0.562,135.652,4,1,1960
Love Will Find A Way,The Very Best Of Jackie DeShannon,Jackie DeShannon,1996-01-01,159866,4,0.653,0.818,0.376,0.336,0.122,-14.969,0.0357,0.855,114.273,4,1,1960
Get Rhythm,Johnny Cash at Sun,Johnny Cash,2014-01-15,133120,58,0.914,0.67,0.465,0.0,0.222,-11.406,0.0618,0.932,110.205,4,0,1960
How I Miss You Baby,The Best Of Bobby Womack - The Soul Years,Bobby Womack,2008-01-01,191093,20,0.641,0.637,0.678,1.06e-05,0.217,-6.609,0.0253,0.645,107.983,4,0,1960
Baby It's You,20 Greatest Hits,The Shirelles,2005,161440,39,0.646,0.674,0.336,7.91e-05,0.229,-13.976,0.0287,0.728,113.526,4,0,1960
Reuben James,The Best Of Kenny Rogers: 20th Century Masters The Millennium Collection,Kenny Rogers,2003-01-01,167826,43,0.678,0.796,0.729,4.38e-06,0.182,-7.902,0.0411,0.889,93.027,4,0,1960
Make Your Own Kind Of Music,Mama's Big Ones',Cass Elliot,1973-01-01,139533,0,0.521,0.595,0.573,4.37e-06,0.326,-12.92,0.0429,0.726,120.984,4,0,1960
I Guess the Lord Must Be in New York City,Harry,Harry Nilsson,1969,164506,0,0.5,0.502,0.542,0.00671,0.315,-9.241,0.0349,0.839,126.031,4,0,1960
Crumbs off the Table (Originally Performed by the Glass House) [Karaoke Version],Crumbs off the Table (Originally Performed by the Glass House) [Karaoke Version],Mega Tracks Karaoke Band,2015-07-13,160564,0,0.585,0.00447,0.765,0.653,0.0992,-8.605,0.0291,0.897,173.958,4,2,1960
Jingo,Santana (Legacy Edition),Santana,1969,261066,44,0.491,0.406,0.482,0.661,0.172,-14.478,0.0641,0.593,126.797,4,1,1960
Say You Love Me,Check Out Your Mind!,The Impressions,1970,185666,5,0.253,0.393,0.454,2.69e-06,0.0556,-11.041,0.0361,0.541,168.486,3,1,1960
Tonight I'll Be Staying Here with You,Nashville Skyline,Bob Dylan,1969-04-09,201133,48,0.583,0.376,0.38,0.00685,0.0676,-17.607,0.0482,0.529,81.892,4,1,1960
Land of 1000 Dances,University Bands: To the Summit,University of Northern Colorado Bands,2007-06-01,81466,13,0.537,0.646,0.66,0.981,0.161,-14.409,0.0304,0.226,85.25,4,2,1960
Big In Vegas,The Complete Capitol Singles: 1967-1970,Buck Owens & The Buckaroos,2018-05-11,187695,0,0.493,0.28,0.536,0.0,0.334,-9.852,0.0237,0.667,88.925,4,0,1960
I Can't Get Next To You,Puzzle People,The Temptations,1969-01-01,174933,55,0.693,0.575,0.687,0.0,0.398,-12.909,0.0973,0.699,108.854,4,0,1960
Any Way That You Want Me,Out of Sight,Liverpool Five,1967-01-01,157840,2,0.399,0.507,0.423,0.0,0.417,-11.484,0.0299,0.472,101.408,1,0,1960
Ballad of Easy Rider,Ballad Of Easy Rider,The Byrds,1969-11-10,124266,38,0.411,0.66,0.635,0.0519,0.273,-11.645,0.0667,0.755,97.123,4,0,1960
Je t'aime moi non plus,Jane Birkin & Serge Gainsbourg,Jane Birkin,1969-01-01,261613,41,0.465,0.406,0.419,0.00367,0.165,-12.176,0.0287,0.553,82.453,4,1,1960
Wichita Lineman - Remastered 2001,Wichita Lineman (Remastered),Glen Campbell,1968,186200,64,0.192,0.326,0.392,0.000199,0.248,-11.667,0.0328,0.391,172.312,4,1,1960
Feeling Alright,A Tribute To Joe Cocker,Various Artists,2001-11-13,259880,14,0.496,0.208,0.841,3.44e-05,0.0988,-6.286,0.0399,0.785,174.069,4,0,1960
Tracy (In the Style of the Cuff Links) [Karaoke Version],The Karaoke Channel - Sing Tracy Like the Cuff Links,The Karaoke Channel,2014-11-10,140857,0,0.554,0.0224,0.504,0.0466,0.439,-11.234,0.0277,0.461,130.191,4,0,1960
Is That All There Is? - Remastered,The Best Of Miss Peggy Lee,Peggy Lee,1998-01-01,259333,34,0.451,0.799,0.0587,0.0,0.0952,-21.635,0.0369,0.396,109.77,4,1,1960
Please Don't Go - Single Version,Do You Wanna Go Party,KC & The Sunshine Band,1979-05-01,230533,51,0.482,0.00888,0.615,1.78e-06,0.0431,-11.093,0.0398,0.437,96.307,4,0,1970
Babe,Cornerstone,Styx,1979-01-01,265973,66,0.267,0.527,0.204,0.0,0.0924,-13.714,0.0317,0.0903,169.486,4,1,1970
Send One Your Love,Number 1's,Stevie Wonder,2007-01-01,243400,0,0.625,0.561,0.505,5.97e-06,0.08,-12.555,0.0798,0.531,72.907,4,0,1970
Still,All The Great Love Songs,Commodores,1985,224866,45,0.355,0.899,0.0629,0.000631,0.0975,-19.544,0.0338,0.203,124.422,4,1,1970
Do That To Me One More Time,Make Your Move,Captain & Tennille,1979-01-01,256666,68,0.728,0.563,0.524,0.000131,0.0913,-8.227,0.0255,0.51,90.262,4,1,1970
You're Only Lonely,You're Only Lonely,JD Souther,1979,228000,50,0.591,0.263,0.514,7.8e-06,0.0797,-10.183,0.0256,0.658,108.975,4,0,1970
Ladies Night - Single Version,Celebration: The Best Of Kool & The Gang (1979-1987),Kool & The Gang,1994-01-01,209706,0,0.669,0.238,0.6,7.92e-05,0.0613,-12.724,0.131,0.916,111.833,4,0,1970
Take The Long Way Home - 2010 Remastered,Breakfast In America (Deluxe Edition),Supertramp,1979-03-29,308853,66,0.414,0.22,0.7,0.000721,0.114,-8.838,0.0301,0.37,76.79,4,1,1970
Rock with You - Single Version,Off the Wall,Michael Jackson,1979-08-10,220626,75,0.808,0.179,0.535,9.91e-05,0.158,-12.521,0.0353,0.848,114.031,4,0,1970
Cool Change,Greatest Hits,Little River Band,2014-01-01,305893,49,0.38,0.436,0.389,0.0,0.0685,-10.467,0.0272,0.207,131.38,4,1,1970
We Don't Talk Anymore - 2001 Remaster,Rock 'n' Roll Juvenile,Cliff Richard,1979,257160,58,0.746,0.0014,0.703,0.00414,0.066,-7.853,0.0291,0.733,111.569,4,2,1970
Head Games,Head Games,Foreigner,1979-09-10,217706,57,0.678,0.0139,0.693,0.0,0.0596,-6.133,0.0249,0.623,107.415,4,0,1970
Cruisin',The Definitive Collection,Smokey Robinson,2004-01-01,353520,43,0.473,0.216,0.62,0.0,0.352,-6.908,0.029,0.673,168.914,4,0,1970
Better Love Next Time,Dr. Hook - The Best Of,Dr. Hook,2009-01-01,180266,33,0.759,0.418,0.66,0.0,0.0381,-10.675,0.0543,0.885,102.92,4,0,1970
The Long Run - 2013 Remaster,The Long Run (2013 Remaster),Eagles,1979,221234,58,0.803,0.139,0.521,0.00899,0.081,-7.775,0.0276,0.969,99.46,4,0,1970
Jane,Freedom At Point Zero,Jefferson Starship,1979,252200,0,0.589,0.204,0.82,0.0188,0.423,-9.602,0.0369,0.787,117.307,4,0,1970
I Want You Tonight,20th Century Masters: The Millennium Collection: Best of Pablo Cruise,Pablo Cruise,2001-01-01,330760,15,0.724,0.00855,0.858,0.00105,0.276,-7.995,0.0273,0.905,122.996,4,0,1970
Heartache Tonight - 2013 Remaster,The Long Run (2013 Remaster),Eagles,1979,265678,62,0.81,0.0778,0.511,0.000226,0.0714,-6.454,0.0409,0.858,113.153,4,0,1970
This Is It,This Is It (Expanded Edition),Melba Moore,2014-02-14,211853,54,0.731,0.22,0.804,0.0,0.15,-6.62,0.106,0.761,118.933,4,0,1970
Coward Of The County,Kenny,Kenny Rogers,1979-10-10,258733,62,0.652,0.134,0.433,7.37e-06,0.146,-12.843,0.0588,0.675,91.471,4,1,1970
I Wanna Be Your Lover,Prince,Prince,1979-10-19,347666,60,0.812,0.0399,0.507,0.0831,0.0671,-8.825,0.0452,0.729,114.832,4,0,1970
Half The Way,Crystal Gayle: The Hits,Crystal Gayle,2007-01-01,242573,37,0.636,0.641,0.622,0.0,0.0995,-5.348,0.028,0.599,116.332,4,1,1970
Don't Do Me Like That,Greatest Hits,Tom Petty and the Heartbreakers,2010-01-01,161600,0,0.764,0.131,0.664,1.4e-05,0.0889,-7.868,0.0269,0.962,116.107,4,0,1970
Wait for Me,X-Static (Expanded Edition),Daryl Hall & John Oates,1979,247800,44,0.59,0.161,0.731,3.07e-06,0.0744,-7.12,0.0303,0.918,175.268,4,0,1970
Damned If I Do,Eve (Expanded Edition),The Alan Parsons Project,1979-08-27,292840,36,0.556,0.732,0.639,0.00214,0.128,-8.802,0.0382,0.567,134.721,4,1,1970
Don't Let Go,Commander Cody & His Lost Planet Airmen,Commander Cody and His Lost Planet Airmen,1975,160746,14,0.49,0.407,0.801,1.58e-06,0.0611,-6.374,0.352,0.867,206.257,3,0,1970
Ships,One Voice,Barry Manilow,1979,248733,46,0.288,0.719,0.356,0.0,0.128,-8.264,0.0309,0.107,125.928,4,1,1970
Chiquitita,Voulez-Vous,ABBA,1979,327040,33,0.526,0.701,0.555,6.69e-06,0.299,-8.08,0.0338,0.38,84.088,4,1,1970
"Pop Muzik - Paralyzer 7"" Remix",Pop Muzik - 30th Anniversary Remixes,M,2009-09-04,213400,37,0.858,0.113,0.936,9.43e-06,0.243,-7.324,0.0576,0.889,110.005,4,0,1970
I Need A Lover,John Cougar,John Mellencamp,1979,336066,41,0.415,0.00443,0.867,0.00332,0.372,-5.362,0.0601,0.833,126.001,4,0,1970
Deja Vu,Dionne (Expanded Edition),Dionne Warwick,1979-01-01,304986,43,0.593,0.308,0.564,0.000128,0.0676,-12.585,0.0435,0.587,145.623,4,0,1970
Sara,Greatest Hits,Fleetwood Mac,1988-11-21,382373,62,0.741,0.384,0.388,0.0235,0.0933,-16.693,0.031,0.589,126.819,4,1,1970
"Yes, I'm Ready (In the Style of Teri Desario & KC) [Performance Track with Demonstration Vocals]","Yes, I'm Ready (In the Style of Teri Desario & KC) [Performance Track with Demonstration Vocals] - Single",Done Again,2012-03-05,206627,16,0.62,0.444,0.433,0.0,0.0879,-12.159,0.0237,0.487,106.562,3,1,1970
Broken Hearted Me,Anne Murray The Best Of...So Far - 20 Greatest Hits,Anne Murray,1994-01-01,238066,48,0.431,0.262,0.446,2.93e-06,0.134,-8.493,0.0266,0.0876,133.841,4,1,1970
"Train, Train",Strikes,Blackfoot,1979,216693,56,0.609,0.015,0.807,0.00123,0.37,-8.286,0.0559,0.754,121.768,4,0,1970
I Still Have Dreams,I Still Have Dreams,Richie Furay,1979-09-29,207520,5,0.734,0.447,0.412,0.000564,0.0727,-11.623,0.0331,0.705,114.872,4,1,1970
Rotation,Rise,Herb Alpert,1979-09-01,311413,0,0.826,0.237,0.469,0.944,0.0429,-13.957,0.0709,0.475,104.923,4,2,1970
Love Pains,The Best Of Yvonne Elliman,Yvonne Elliman,1997-01-01,232866,11,0.642,0.0461,0.56,4.51e-06,0.0625,-14.564,0.0311,0.756,117.612,4,0,1970
Forever Mine,The Essential O'Jays,The O'Jays,2008-06-10,366293,42,0.473,0.299,0.411,0.0,0.136,-12.122,0.0684,0.54,177.413,3,1,1970
Rapper's Delight,Rhino Hi-Five: The Sugarhill Gang,The Sugarhill Gang,2005-03-15,427360,56,0.9,0.465,0.845,0.0,0.0724,-7.306,0.257,0.914,111.187,4,2,1970
I'd Rather Leave While I'm In Love,Delta Lady / The Anthology,Rita Coolidge,2004-01-01,204333,0,0.465,0.341,0.535,7.64e-06,0.119,-9.083,0.0305,0.231,131.965,4,1,1970
Savannah Nights,Everything You've Heard Is True,Tom Johnston,1979-09-07,244160,12,0.808,0.157,0.701,0.0653,0.0312,-10.915,0.0345,0.976,118.47,4,0,1970
Video Killed The Radio Star,The Age Of Plastic,The Buggles,1980-01-10,253800,65,0.675,0.0852,0.61,0.0188,0.159,-13.811,0.085,0.344,131.037,4,0,1970
Romeo's Tune,Jack Rabbit Slim,Steve Forbert,1979-12-07,212471,58,0.571,0.404,0.721,0.00961,0.299,-5.645,0.0307,0.733,95.027,4,0,1970
Mistrusted Love,Mistress,Mistress,1979,235572,2,0.519,0.0552,0.667,1.03e-05,0.18,-9.04,0.0433,0.246,107.549,4,1,1970
Dim All The Lights,Bad Girls,Donna Summer,1979-04-25,280775,0,0.798,0.0408,0.62,0.000321,0.0993,-14.0,0.0335,0.826,120.518,4,0,1970
She's in Love with You - 2017 Remaster,Suzi… and Other Four Letter Words (2017 Remaster),Suzi Quatro,1979-04-05,212986,48,0.657,0.0716,0.857,1.52e-05,0.0774,-7.02,0.0456,0.624,125.858,4,2,1970
Tusk - 2015 Remaster,Tusk (Deluxe Edition),Fleetwood Mac,1979-10-12,217573,61,0.628,0.224,0.779,0.776,0.151,-11.841,0.0831,0.936,180.837,4,2,1970
You Know That I Love You,Marathon,Santana,1979-09-01,264893,23,0.569,0.0336,0.536,9.17e-05,0.193,-12.977,0.0271,0.675,127.226,4,0,1970
Do You Love What You Feel,Masterjam,Rufus & Chaka Khan,1979-01-01,269306,47,0.808,0.022,0.773,0.0436,0.654,-11.4,0.0365,0.893,119.944,4,0,1970
Lonely Eyes,Classic Masters,Robert John,2002,190226,13,0.575,0.135,0.773,0.0,0.116,-6.338,0.0914,0.69,95.405,4,0,1970
Voices,Dream Police,Cheap Trick,1979-11-21,261066,45,0.259,0.368,0.55,1.63e-06,0.329,-11.353,0.0324,0.64,193.147,4,0,1970
Since You Been Gone,Head East + Gettin' Lucky,Head East,2005-01-01,181813,0,0.732,0.249,0.804,0.0,0.243,-4.832,0.0436,0.824,129.721,4,0,1970
Crazy Little Thing Called Love - Remastered 2011,The Game (Deluxe Remastered Version),Queen,1980-06-27,163373,68,0.599,0.714,0.762,4.43e-06,0.35,-6.887,0.0423,0.715,76.961,4,0,1970
Lost Her In The Sun,Airdream Believer,John Stewart,2005-06-20,230426,0,0.688,0.128,0.708,0.00178,0.113,-8.506,0.0302,0.81,117.023,4,0,1970
Money,The Dark Side of the Moon,Pink Floyd,1973-03-01,382834,73,0.469,0.0241,0.537,0.00201,0.269,-10.421,0.152,0.783,124.193,1,0,1970
Move Your Boogie Body,Greatest Hits,The Bar-Kays,2008-04-22,382533,23,0.871,0.354,0.946,0.0124,0.0653,-7.55,0.0453,0.922,113.645,4,2,1970
Last Train to London,Discovery,Electric Light Orchestra,1979-05-31,270066,69,0.727,0.396,0.537,0.000789,0.349,-9.785,0.0295,0.954,121.493,4,0,1970
Fool in the Rain - 1990 Remaster,In Through the out Door (1994 Remaster),Led Zeppelin,1979-08-15,372893,64,0.539,0.0866,0.866,0.00414,0.0953,-8.404,0.0483,0.761,130.345,4,0,1970
Why Me,16 Biggest Hits,Kris Kristofferson,2007,207560,29,0.416,0.643,0.191,1.33e-06,0.116,-13.184,0.026,0.286,82.088,3,1,1970
September Morn,September Morn,Neil Diamond,1979-12-22,232000,61,0.419,0.628,0.23,5.85e-06,0.222,-17.102,0.0359,0.199,128.892,4,1,1970
Daydream Believer,Anne Murray The Best Of...So Far - 20 Greatest Hits,Anne Murray,1994-01-01,149293,40,0.593,0.0171,0.538,2.8e-05,0.101,-8.292,0.0256,0.579,126.509,4,0,1970
Wonderland,Gold,Commodores,2008-01-01,231640,7,0.518,0.183,0.566,3.23e-06,0.353,-8.342,0.0613,0.614,73.257,4,0,1970
Dirty Water,Dirty Water: The Very Best Of The Inmates,The Inmates,2001-06-01,179866,23,0.532,0.00207,0.723,0.0151,0.0721,-10.201,0.0326,0.7,152.649,4,0,1970
An American Dream - Remastered 2001,Lost Hits Of The 70's,Various Artists,2012-01-01,211733,16,0.737,0.33,0.559,0.0,0.0772,-9.384,0.0288,0.709,111.012,4,0,1970
Glide - Original Mix,The Greatest Of Pleasure,Pleasure,1993-01-01,388773,38,0.717,0.00532,0.82,0.843,0.0583,-9.085,0.0404,0.962,117.795,4,2,1970
Message In A Bottle - Remastered 2003,Reggatta De Blanc,The Police,1979-10-02,290280,0,0.582,0.0338,0.81,1.68e-05,0.202,-7.024,0.0396,0.875,151.006,4,0,1970
You're Gonna Get What's Coming - Remastered Version,The Glow,Bonnie Raitt,1979,212600,11,0.61,0.00962,0.822,2.91e-06,0.0442,-7.281,0.0484,0.359,139.619,4,2,1970
Heartbreaker,Greatest Hits: Grand Funk Railroad (Remastered),Grand Funk Railroad,2006-01-01,394760,38,0.287,0.0568,0.758,0.00277,0.214,-6.52,0.0523,0.454,142.654,3,1,1970
Longer,Portrait: The Music Of Dan Fogelberg From 1972-1997,Dan Fogelberg,1997,195200,50,0.433,0.908,0.159,0.0,0.13,-15.363,0.0295,0.382,78.989,4,1,1970
When I Wanted You,The Essential Barry Manilow,Barry Manilow,2005-04-26,215333,16,0.302,0.75,0.402,0.0,0.079,-7.849,0.0287,0.352,136.439,4,1,1970
Memorize Your Number,The Leif Garrett Collection,Leif Garrett,1998-07-22,167960,18,0.782,0.017,0.418,0.0,0.0868,-14.367,0.469,0.893,140.936,4,2,1970
Star - Remastered,Stuck In The Middle With You,Stealers Wheel,2009-08-12,187117,15,0.738,0.067,0.519,0.0,0.0631,-6.617,0.0387,0.539,120.019,4,0,1970
Can We Still Be Friends?,The Very Best of Todd Rundgren,Todd Rundgren,1997-07-29,218440,40,0.57,0.791,0.397,0.00017,0.0789,-8.93,0.0389,0.235,172.547,3,1,1970
The Second Time Around,Big Fun,Shalamar,1979-01-01,223293,45,0.801,0.0123,0.388,7.16e-05,0.0924,-12.135,0.0505,0.577,112.367,4,0,1970
I Don't Want to Talk About It - 2008 Remaster,Atlantic Crossing,Rod Stewart,1975,288266,69,0.472,0.872,0.373,0.206,0.147,-12.98,0.0262,0.459,135.193,4,1,1970
99,Hydra,TOTO,1979-10-01,316053,54,0.482,0.181,0.471,0.00167,0.112,-13.873,0.0334,0.342,88.557,4,1,1970
Don't Make Me Over,Right on the Tip of My Tongue,Brenda And The Tabulations,2000-01-01,232493,8,0.407,0.435,0.56,4.09e-05,0.268,-5.793,0.0285,0.357,131.435,3,1,1970
Shooting Star,Shooting Stars - The Dollar Collection,Dollar,2002,228400,0,0.631,0.073,0.545,0.0116,0.131,-10.49,0.035,0.57,138.621,4,0,1970
Volcano,Volcano,Jimmy Buffett,1979-01-01,219893,53,0.652,0.332,0.474,1.03e-06,0.0993,-14.436,0.204,0.88,176.966,4,0,1970
"I Call Your Name - 12"" Version",20th Century Masters: The Millennium Collection: Best of Switch,Switch,2001-01-01,455200,47,0.519,0.648,0.643,0.00144,0.307,-8.268,0.0795,0.832,79.91,4,0,1970
With You I'm Born Again (In the Style of Billy Preston) [Karaoke Version],With You I am Born Again (In the Style of Billy Preston & Syreeta) [Karaoke Version] - Single,Ameritz Karaoke Entertainment,2012-07-26,212400,0,0.345,0.46,0.234,0.91,0.123,-18.139,0.0314,0.0707,81.049,3,1,1970
Holdin' On For Dear Love,Best Of Lobo,Lobo,1996-10-29,166000,25,0.602,0.582,0.519,0.0,0.0796,-10.717,0.0851,0.8,168.753,4,0,1970
You Decorated My Life,A Love Song Collection,Kenny Rogers,2008-01-01,219613,0,0.246,0.65,0.417,9.7e-06,0.0911,-9.088,0.0307,0.168,172.314,4,1,1970
Rise,Rise,Herb Alpert,1979-09-01,457400,0,0.814,0.133,0.454,0.839,0.0863,-10.802,0.0413,0.903,99.265,4,2,1970
Dreaming,Eat To The Beat,Blondie,1979-09-28,188493,46,0.299,0.0048,0.92,0.00022,0.122,-3.377,0.0552,0.675,160.449,4,0,1970
Ready For The 80's,A Tribute to the Hits of the Village People,Navy Gravy,2009-11-16,241760,0,0.601,0.0336,0.615,1.29e-05,0.332,-9.178,0.036,0.675,130.986,4,0,1970
The Peter Piper Theme,The Very Best Of Frank,Frank Mills,1978,162493,25,0.457,0.965,0.135,0.693,0.106,-26.149,0.0427,0.809,107.235,4,1,1970
Please Don't Leave,Smooth Sailing - Yacht Rock Classics,Various Artists,2018-06-25,238666,2,0.775,0.201,0.447,0.000106,0.0493,-13.512,0.0445,0.839,124.211,4,0,1970
Good Girls Don't,Get The Knack,The Knack,1979-01-01,189173,45,0.403,0.0327,0.72,0.0,0.159,-9.841,0.0395,0.916,176.385,4,0,1970
No Chance,Lost Hits Of The 70's,Various Artists,2012-01-01,159866,3,0.706,0.133,0.408,4.32e-06,0.0948,-11.241,0.0414,0.762,120.475,4,0,1970
This Night Won't Last Forever,This Night Won't Last Forever,Bill LaBounty,1978-07-21,265640,28,0.648,0.322,0.402,1.38e-06,0.0886,-14.972,0.0241,0.607,102.682,4,1,1970
I Do Believe in You,Future Street,Pages,1979-11-26,242786,17,0.579,0.013,0.762,0.0,0.126,-9.704,0.0358,0.85,140.435,4,0,1970
Lay It on the Line,Greatest Hits Remixed,Triumph,2010-05-18,246026,45,0.228,0.00672,0.872,0.0,0.242,-5.479,0.0648,0.278,91.724,4,0,1970
"Cruel Shoes - From the Book ""Cruel Shoes""",Comedy Is Not Pretty,Steve Martin,1979-09-14,137373,10,0.562,0.865,0.38,0.0,0.366,-15.932,0.693,0.556,126.758,3,1,1970
Get It Up,Images,Ronnie Milsap,1979-01-01,320320,0,0.849,0.0742,0.617,1.56e-05,0.084,-12.594,0.0381,0.917,100.162,4,0,1970
It's All I Can Do,Candy-O,The Cars,1979,225760,47,0.603,0.0386,0.701,0.00106,0.211,-9.719,0.0274,0.961,118.664,4,0,1970
Don't Stop 'Til You Get Enough,Off the Wall,Michael Jackson,1979-08-10,365466,76,0.878,0.126,0.821,0.0461,0.183,-9.875,0.089,0.947,118.881,4,0,1970
Come to Me,The Solo Years,Tommy James,1991,195026,1,0.334,0.332,0.497,0.0,0.145,-9.008,0.0308,0.672,84.051,4,0,1970
If You Want It,Niteflyte,Niteflyte,1995-07-02,270933,36,0.458,0.477,0.861,0.0,0.0649,-6.011,0.086,0.731,86.774,4,0,1970
Another Day in Paradise - 2016 Remaster,...But Seriously (Deluxe Edition),Phil Collins,1989-11-20,322133,75,0.78,0.736,0.565,0.00269,0.063,-7.32,0.0306,0.365,101.967,4,1,1980
We Didn't Start the Fire,Storm Front,Billy Joel,1989-10-17,287733,76,0.712,0.0771,0.967,0.0,0.356,-5.206,0.047,0.895,145.024,4,0,1980
Rhythm Nation,Rhythm Nation 1814,Janet Jackson,1989-09-19,330933,53,0.633,0.0504,0.931,0.109,0.375,-7.752,0.0686,0.676,109.116,4,0,1980
With Every Beat of My Heart,Tell It to My Heart (Deluxe Anniversary Edition),Taylor Dayne,2018-07-17,265588,13,0.773,0.13,0.913,1.48e-06,0.145,-6.544,0.0426,0.926,121.314,4,0,1980
Back To Life,Keep On Movin',Soul II Soul,1989-01-01,228266,64,0.817,0.0515,0.484,0.000213,0.0391,-11.659,0.143,0.671,100.978,4,0,1980
Just Like Jesse James,Heart Of Stone,Cher,1989-01-01,245733,59,0.4,0.17,0.563,0.0,0.133,-10.233,0.0307,0.442,138.006,4,0,1980
