track_title,album_name,artist,release_year,song_length_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,Mood
Rather Be (feat. Jess Glynne),Rather Be (feat. Jess Glynne),Clean Bandit,2014-01-17,227833,76,0.799,0.162,0.799,0.586,2.03e-06,0.193,-6.735,0.0377,0.549,120.97,4,Happy
Replay,Replay,Iyaz,2009-08-18,182306,79,0.706,0.173,0.706,0.751,0.0,0.168,-6.323,0.0708,0.195,91.031,4,Happy
Lips Are Movin,Title (Deluxe),Meghan Trainor,2015-01-09,182666,73,0.775,0.0506,0.775,0.825,1.03e-06,0.111,-5.402,0.0464,0.95,139.091,4,Happy
The Tide Is High - Radio Mix,Atomic Kitten,Atomic Kitten,2003-04-22,205360,67,0.776,0.0234,0.776,0.693,0.00177,0.0322,-2.528,0.0314,0.635,102.996,4,Happy
Down,All Or Nothing,Jay Sean,2009-01-01,212106,81,0.657,0.0108,0.657,0.695,0.0,0.0822,-4.493,0.0321,0.683,65.997,4,Happy
Born This Way,Born This Way (International Special Edition Version),Lady Gaga,2011-05-23,260253,75,0.587,0.00327,0.587,0.828,0.0,0.331,-5.108,0.161,0.494,123.907,4,Happy
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Planet Pit (Deluxe Version),Pitbull,2011-06-17,252306,83,0.671,0.191,0.671,0.939,0.0,0.298,-3.206,0.161,0.53,129.024,4,Happy
So What,Greatest Hits...So Far!!!,P!nk,2010-11-12,214520,0,0.531,0.000105,0.531,0.864,2.05e-06,0.346,-2.978,0.0433,0.402,126.02,4,Happy
Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5,2018-05-30,235545,77,0.851,0.568,0.851,0.541,0.0,0.13,-6.825,0.0505,0.448,124.959,4,Happy
Don't Be so Hard on Yourself,I Cry When I Laugh,Jess Glynne,2015,211460,64,0.571,0.0608,0.571,0.815,0.0,0.163,-3.267,0.0321,0.664,120.008,4,Happy
About You Now,Change,Sugababes,2007-01-01,212400,68,0.584,6.52e-05,0.584,0.699,6.05e-05,0.486,-6.065,0.0378,0.585,82.499,4,Happy
Perfect Strangers,Perfect Strangers,Jonas Blue,2016-06-03,196613,41,0.73,0.39,0.73,0.861,0.0,0.213,-4.1,0.0451,0.704,117.965,4,Happy
Wannabe,Spice,Spice Girls,1996-01-01,173026,81,0.768,0.101,0.768,0.864,0.0,0.162,-6.145,0.0324,0.891,110.008,4,Happy
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,190213,77,0.738,0.332,0.738,0.804,0.0,0.279,-3.851,0.0621,0.949,174.943,4,Happy
"Honey, I'm Good.",Magazines Or Novels,Andy Grammer,2014-08-05,199263,74,0.752,0.0324,0.752,0.775,0.0,0.351,-7.289,0.0546,0.595,122.014,4,Happy
Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,2005-11-28,218093,85,0.778,0.284,0.778,0.824,0.0,0.405,-5.892,0.0712,0.756,100.024,4,Happy
"I'll Be There for You (Theme from ""Friends')",I'll Be There For You (Theme From FRIENDS) / Snippets: Don't Hide Your Love / End Of The Beginning / Lovin' Me Insane / Drowning In Your Tears / This House Is Not A Home / What Will It Take [Digital 45],The Rembrandts,1995,187293,64,0.258,0.065,0.258,0.919,0.0,0.279,-6.927,0.0809,0.636,93.62,4,Happy
Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,81,0.774,0.152,0.774,0.753,0.0,0.0371,-5.446,0.0517,0.896,119.002,4,Happy
Whenever (feat. Conor Maynard),Whenever (feat. Conor Maynard),Kris Kross Amsterdam,2018-06-22,163636,69,0.734,0.151,0.734,0.765,0.0,0.231,-5.562,0.0621,0.518,109.989,4,Happy
Solo Dance,Solo Dance,Martin Jensen,2016-11-04,174933,65,0.746,0.0485,0.746,0.846,0.0,0.195,-2.432,0.048,0.403,114.955,4,Happy
Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,267080,79,0.835,0.0336,0.835,0.669,6.92e-05,0.0535,-5.582,0.0643,0.542,122.668,4,Happy
Tonight Tonight,Whatever,Hot Chelle Rae,2011-11-25,200466,77,0.686,0.0764,0.686,0.783,0.0,0.163,-4.977,0.119,0.814,99.978,4,Happy
Wrapped Up (feat. Travie McCoy),Never Been Better (Deluxe),Olly Murs,2014-11-21,185640,1,0.787,0.0915,0.787,0.848,0.0,0.15,-4.696,0.0549,0.947,121.989,4,Happy
DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),Usher,2010-03-30,220800,81,0.663,0.0338,0.663,0.861,0.0,0.082,-3.398,0.109,0.654,119.963,4,Happy
Cheerleader (Felix Jaehn Remix) - Radio Edit,Cheerleader (Felix Jaehn Remix Radio Edit),OMI,2014-12-02,180021,63,0.827,0.184,0.827,0.576,0.029,0.0656,-7.774,0.0372,0.41,118.04,4,Happy
Club Can't Handle Me (feat. David Guetta),Only One Flo (Part 1),Flo Rida,2010-11-24,234560,77,0.616,0.0283,0.616,0.869,0.0,0.064,-3.911,0.0327,0.473,127.966,4,Happy
On Top Of The World,Night Visions,Imagine Dragons,2012-09-04,192280,77,0.631,0.0841,0.631,0.924,3.59e-06,0.084,-5.589,0.146,0.755,100.045,4,Happy
Uptown Girl - Radio Edit,Coast To Coast (Expanded Edition),Westlife,2000,186440,69,0.645,0.00809,0.645,0.921,1.08e-05,0.407,-5.256,0.0302,0.864,129.0,4,Happy
Billionaire (feat. Bruno Mars),Billionaire (feat. Bruno Mars),Travie McCoy,2010-03-09,211160,75,0.633,0.297,0.633,0.673,0.0,0.206,-6.403,0.258,0.659,86.776,4,Happy
A Sky Full of Stars,Ghost Stories,Coldplay,2014-05-19,267866,80,0.545,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,0.162,124.97,4,Happy
We Found Love,Talk That Talk (Deluxe),Rihanna,2012-07-18,215226,0,0.734,0.025,0.734,0.766,0.00138,0.108,-4.485,0.0383,0.6,127.986,4,Happy
California Gurls,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,234653,76,0.791,0.00446,0.791,0.754,0.0,0.163,-3.729,0.0569,0.425,125.014,4,Happy
All About That Bass,Title (Deluxe),Meghan Trainor,2015-01-09,187920,74,0.807,0.0573,0.807,0.887,2.87e-06,0.124,-3.726,0.0503,0.961,134.052,4,Happy
Summer Air,Summer Air,ItaloBrothers,2017-04-28,183587,68,0.755,0.0635,0.755,0.751,0.0,0.0812,-4.034,0.0748,0.491,102.002,4,Happy
Time of Our Lives,Globalization,Pitbull,2014-11-21,229360,83,0.72,0.0921,0.72,0.802,0.0,0.694,-5.797,0.0582,0.723,124.043,4,Happy
Summer Paradise (feat. Sean Paul) - Single Version,Get Your Heart On!,Simple Plan,2011-06-20,234786,66,0.421,0.0132,0.421,0.822,0.0,0.092,-4.415,0.0542,0.751,171.935,4,Happy
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2012-12-07,233478,85,0.726,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,0.867,143.994,4,Happy
"Whenever, Wherever",Laundry Service,Shakira,2001-11-13,196160,76,0.793,0.236,0.793,0.832,1.12e-05,0.202,-4.862,0.0406,0.872,107.661,4,Happy
Disturbia,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,238626,0,0.707,0.0863,0.707,0.813,0.0,0.168,-4.515,0.0571,0.722,124.921,4,Happy
Bumpy Ride,MoveMeant (International),Mohombi,2010-01-01,224720,71,0.706,0.0476,0.706,0.842,0.0,0.134,-4.628,0.038,0.818,104.958,4,Happy
Hula Hoop,Me 4 U,OMI,2015-10-16,205474,64,0.673,0.0248,0.673,0.842,0.0,0.294,-4.666,0.039,0.509,121.986,4,Happy
Whistle,Wild Ones,Flo Rida,2012-06-22,224653,80,0.747,0.0208,0.747,0.937,0.0,0.29,-5.746,0.0453,0.739,103.976,4,Happy
World of Our Own,World Of Our Own,Westlife,2001-11-08,211426,0,0.704,0.0137,0.704,0.761,0.0,0.0487,-4.659,0.0347,0.907,97.002,4,Happy
Beautiful Girls,Beautiful Girls,Sean Kingston,2007-07-23,225373,80,0.762,0.15,0.762,0.661,0.0,0.256,-6.075,0.0687,0.769,130.009,4,Happy
Havana,Havana,Camila Cabello,2017-08-03,216896,4,0.768,0.186,0.768,0.517,3.8e-05,0.104,-4.323,0.0312,0.418,104.992,4,Happy
Wild Ones (feat. Sia),Wild Ones,Flo Rida,2012-06-22,232946,79,0.608,0.0991,0.608,0.86,0.0,0.262,-5.324,0.0554,0.437,127.075,4,Happy
Man! I Feel Like A Woman!,Come On Over,Shania Twain,1997-11-04,234493,75,0.657,0.581,0.657,0.639,0.0,0.278,-7.527,0.0412,0.674,124.882,4,Happy
"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,2014-03-03,232720,6,0.647,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,0.962,160.019,4,Happy
(What A) Wonderful World - Remastered,The Wonderful World Of Sam Cooke (Remastered),Sam Cooke,1960,125506,0,0.524,0.734,0.524,0.543,0.0,0.275,-9.889,0.0397,0.877,128.091,4,Happy
Mess Around,The Classic Blues Sessions Volume 1,Ray Charles,2010-09-20,160160,0,0.603,0.896,0.603,0.755,0.0445,0.119,-6.574,0.0333,0.907,149.502,4,Happy
Jump in the Line,The Best Of,Harry Belafonte,1999-10-23,224000,54,0.606,0.677,0.606,0.8,0.0,0.595,-9.624,0.323,0.85,113.864,4,Happy
For Once In My Life,For Once In My Life,Stevie Wonder,1968-12-01,169800,74,0.524,0.195,0.524,0.519,0.0,0.523,-11.903,0.043,0.847,110.121,4,Happy
Lively Up Yourself,Africa Unite: The Singles Collection,Bob Marley & The Wailers,2005-01-01,175053,0,0.88,0.629,0.88,0.663,0.31,0.0853,-8.372,0.0722,0.966,128.896,4,Happy
Heatwave,Ultimate Northern Soul,Various Artists,2010-11-22,183333,7,0.612,0.361,0.612,0.754,1.55e-06,0.0449,-7.154,0.114,0.853,168.055,4,Happy
Love Shack,Return of the 90s,Various Artists,2012-11-16,323653,0,0.682,0.0267,0.682,0.901,0.0,0.704,-3.917,0.0545,0.865,133.652,4,Happy
Walking On Sunshine,Walking On Sunshine,Katrina,2008-01-01,235026,26,0.49,0.0397,0.49,0.966,2.56e-06,0.087,-1.889,0.111,0.953,218.773,4,Happy
Everybody Dance - 2006 Remaster,Definitive Groove: Chic,CHIC,2007-04-02,402933,35,0.682,0.201,0.682,0.829,0.00258,0.0837,-8.215,0.0548,0.89,129.761,4,Happy
Love Train,Back Stabbers,The O'Jays,1972-01-01,178400,71,0.744,0.186,0.744,0.568,1.18e-05,0.163,-9.629,0.0494,0.687,122.657,4,Happy
"Shout, Pts. 1 & 2",Shout!,The Isley Brothers,1959-08-21,268560,63,0.489,0.753,0.489,0.866,0.0,0.876,-7.433,0.0933,0.416,138.63,4,Happy
Twist And Shout,Tease Me,Chaka Demus & Pliers,1993-01-01,237506,56,0.802,0.224,0.802,0.82,0.0,0.293,-9.196,0.0334,0.977,128.954,4,Happy
Don't Stop Me Now - Remastered 2011,Jazz (2011 Remaster),Queen,1978-11-10,209413,83,0.559,0.0475,0.559,0.868,0.000176,0.776,-5.276,0.17,0.609,156.295,4,Happy
One More Time - Radio Edit [Short Radio Edit],One More Time,Daft Punk,2000-11-13,235466,53,0.648,0.0348,0.648,0.671,0.0,0.376,-8.49,0.104,0.533,122.891,4,Happy
My Girl,The Temptations Sing Smokey,The Temptations,1965-01-01,165000,2,0.579,0.625,0.579,0.419,0.0,0.0981,-10.72,0.0346,0.673,104.564,4,Happy
It's Not Unusual,The Matador (Original Motion Picture Soundtrack),OST,2006-04-21,121320,39,0.485,0.683,0.485,0.864,0.0,0.219,-5.806,0.0828,0.887,92.482,4,Happy
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Platinum & Gold Collection,Jennifer Warnes,2004-07-02,289066,71,0.7,0.0874,0.7,0.781,0.00342,0.059,-8.255,0.0507,0.385,108.695,4,Happy
Build Me Up Buttercup,The Best of the Foundations - EP,The Foundations,2012-11-11,161933,8,0.727,0.696,0.727,0.435,7.33e-06,0.127,-13.408,0.129,0.673,133.408,4,Happy
I Got You (I Feel Good),I Got You (I Feel Good),James Brown & The Famous Flames,1966-01-01,165800,0,0.608,0.446,0.608,0.471,3.63e-06,0.369,-8.664,0.0945,0.682,70.702,3,Happy
Move on Up - Extended Version,Curtis (Expanded Edition),Curtis Mayfield,1970,535333,66,0.584,0.141,0.584,0.975,0.501,0.101,-6.534,0.0651,0.876,138.341,4,Happy
Play That Funky Music,Wild Cherry,Wild Cherry,1976,300000,71,0.814,0.0435,0.814,0.672,0.0,0.061,-12.068,0.0619,0.933,109.394,4,Happy
Give It Up,The Best of KC & the Sunshine Band,KC & The Sunshine Band,1990-09-10,245800,54,0.84,0.08,0.84,0.654,0.000259,0.063,-12.135,0.0621,0.841,125.68,4,Happy
Shake Your Body (Down to the Ground) - Remastered Single Version,Michael Jackson's This Is It,Michael Jackson,2009,233413,44,0.792,0.0308,0.792,0.796,0.0,0.354,-5.503,0.0973,0.824,117.513,4,Happy
P.Y.T. (Pretty Young Thing),Thriller 25 Super Deluxe Edition,Michael Jackson,1982-11-30,238733,73,0.888,0.23,0.888,0.815,0.000424,0.127,-4.909,0.0404,0.961,127.273,4,Happy
I'm Coming Out,Diana,Diana Ross,1980-05-22,325266,69,0.739,0.177,0.739,0.917,0.119,0.0834,-4.459,0.0504,0.749,110.163,4,Happy
Dancing Queen,Arrival,ABBA,1976,230400,81,0.543,0.358,0.543,0.87,0.000939,0.792,-6.514,0.0428,0.754,100.804,4,Happy
"You Should Be Dancing - Edit / From ""Saturday Night Fever"" Soundtrack",Children Of The World,Bee Gees,1976-01-01,256493,70,0.681,0.0182,0.681,0.716,0.17,0.337,-10.911,0.0333,0.963,123.009,4,Happy
I'm Still Standing,Too Low For Zero,Elton John,1983-05-30,183440,83,0.504,0.356,0.504,0.904,0.121,0.14,-6.863,0.179,0.772,176.808,4,Happy
Go Your Own Way - 2004 Remaster,Rumours,Fleetwood Mac,1977-02-04,223613,77,0.583,0.0185,0.583,0.947,0.00109,0.0679,-5.12,0.0378,0.803,135.448,4,Happy
Rock Around The Clock,Biggest Hits,Bill Haley & His Comets,1968-01-01,137000,54,0.609,0.139,0.609,0.526,0.0,0.0946,-13.106,0.43,0.93,173.179,4,Happy
Young Hearts Run Free,A Date with Candi Staton,Candi Staton,2013-11-03,223386,6,0.635,0.22,0.635,0.764,0.0,0.165,-5.535,0.0316,0.672,120.004,4,Happy
The Twist,The Best Of Chubby Checker 1959-1963,Chubby Checker,2005-01-01,153760,57,0.533,0.202,0.533,0.638,0.0,0.0729,-7.13,0.0341,0.937,156.663,4,Happy
Treasure,Unorthodox Jukebox,Bruno Mars,2012-12-07,178560,80,0.874,0.0412,0.874,0.692,7.24e-05,0.324,-5.28,0.0431,0.937,116.017,4,Happy
Never Forget,Take That Greatest Hits,Take That,1996-03-25,384093,0,0.627,0.382,0.627,0.687,1.56e-06,0.0493,-9.85,0.0424,0.576,91.201,4,Happy
Let It Go - English Version,Let It Go The Complete Set (From “Frozen”),Various Artists,2014-01-01,224026,0,0.548,0.589,0.548,0.491,0.0,0.123,-6.884,0.0303,0.356,137.009,4,Happy
Wonderwall,Time Flies... 1994-2009,Oasis,2010-06-14,259959,0,0.411,0.000759,0.411,0.888,0.0,0.194,-4.337,0.0331,0.688,174.567,4,Happy
Alright,I Should Coco,Supergrass,1995-05-15,180880,74,0.467,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,0.701,145.92,4,Happy
Dreaming of You,The Coral,The Coral,2002-02-26,141000,67,0.441,0.374,0.441,0.684,0.000848,0.108,-7.495,0.031,0.971,199.001,4,Happy
Wake up Boo!,Wake Up!,The Boo Radleys,1995,217866,53,0.471,0.0725,0.471,0.896,0.0,0.193,-6.701,0.105,0.555,144.838,4,Happy
The Way You Make Me Feel - Single Version,The Essential Michael Jackson,Michael Jackson,2005-07-19,266346,0,0.759,0.0467,0.759,0.818,0.000158,0.103,-6.011,0.216,0.535,171.708,3,Happy
Smooth (feat. Rob Thomas),Ultimate Santana,Santana,2007-09-25,295986,55,0.612,0.159,0.612,0.924,4.34e-05,0.103,-3.877,0.0316,0.96,115.953,4,Happy
I'm Every Woman,Chaka,Chaka Khan,1978-10-13,247413,69,0.617,0.127,0.617,0.879,5.71e-05,0.339,-7.564,0.0455,0.746,114.453,4,Happy
You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,1998-01-01,300773,75,0.621,0.17,0.621,0.901,0.0,0.0875,-5.396,0.0302,0.744,113.967,4,Happy
Pencil Full of Lead,Sunny Side Up,Paolo Nutini,2009-05-29,146733,60,0.735,0.324,0.735,0.767,0.0,0.146,-6.536,0.116,0.833,106.132,4,Happy
Shiny Happy People,Out Of Time (25th Anniversary Edition),R.E.M.,1991-03-12,225786,74,0.452,0.0313,0.452,0.909,0.0603,0.23,-3.977,0.0366,0.805,124.623,4,Happy
Woo Hoo,Kill Bill Vol. 1 Original Soundtrack (PA Version),Various Artists,2003-09-23,119386,50,0.566,0.732,0.566,0.811,0.638,0.596,-9.849,0.0435,0.961,127.944,4,Happy
You Can Call Me Al,The Essential Paul Simon,Paul Simon,2007,276360,59,0.777,0.126,0.777,0.725,0.0108,0.0917,-9.012,0.047,0.851,128.349,4,Happy
The Best,All The Best,Tina Turner,2004-11-01,330253,65,0.651,0.103,0.651,0.87,0.00815,0.0979,-5.149,0.0318,0.729,103.857,4,Happy
Good Vibrations - Remastered,Smiley Smile (Remastered),The Beach Boys,1967-09-18,219026,73,0.396,0.326,0.396,0.473,0.000124,0.109,-7.67,0.0345,0.385,133.449,4,Happy
Ain't No Mountain High Enough - Stereo Version,Marvin Gaye '50' (International Version),Marvin Gaye,2007-01-01,147680,0,0.674,0.25,0.674,0.802,2.48e-06,0.161,-7.085,0.0658,0.742,129.355,4,Happy
I Will Survive,Get Down with Gloria Gaynor,Gloria Gaynor,2013-11-03,225946,5,0.699,0.0398,0.699,0.616,0.0,0.105,-10.702,0.0704,0.464,117.883,4,Happy
Jump Around,House of Pain (Fine Malt Lyrics),House Of Pain,1994-07-21,214946,76,0.854,0.0113,0.854,0.71,8.72e-05,0.166,-6.32,0.0793,0.818,106.894,4,Happy
Place Your Hands,Together - The Best Of,Reef,2003-01-19,217413,55,0.505,0.0262,0.505,0.983,1.63e-06,0.229,-3.249,0.0945,0.551,109.226,4,Happy
Sexy And I Know It,Sorry For Party Rocking,LMFAO,2011-01-01,199480,70,0.707,0.1,0.707,0.861,0.0,0.191,-4.225,0.316,0.795,130.021,4,Happy
Don't You Worry 'Bout A Thing,Innervisions,Stevie Wonder,1973-08-03,284840,62,0.714,0.0316,0.714,0.726,0.0,0.066,-9.218,0.0408,0.92,124.71,4,Happy
You Were Made For Me,I'll Never Get Over You,Freddie & The Dreamers,2007-01-01,140000,2,0.576,0.585,0.576,0.532,0.0,0.555,-12.258,0.0355,0.825,151.689,4,Happy
La Bamba,Samba Pa Ti,José Feliciano,2011-12-10,183506,2,0.621,0.0851,0.621,0.768,0.000787,0.324,-11.745,0.0446,0.959,150.826,4,Happy
Happy Together,Happy Together,The Turtles,1967,176293,76,0.584,0.55,0.584,0.367,1.38e-05,0.0818,-9.638,0.0328,0.588,120.175,4,Happy
You've Made Me So Very Happy,"Blood, Sweat & Tears (Expanded Edition)","Blood, Sweat & Tears",1968-12,258733,52,0.414,0.253,0.414,0.501,0.0,0.353,-9.105,0.0443,0.452,95.837,4,Happy
Happy Days (Theme from ''Happy Days''),"Pratt & McClain featuring ""Happy Days""",Pratt & McClain,1976,156493,53,0.591,0.043,0.591,0.706,0.00172,0.231,-12.115,0.0552,0.915,95.762,4,Happy
Sha-La-La (Make Me Happy),Al Green Explores Your Mind,Al Green,1974-10-02,179840,47,0.747,0.0672,0.747,0.395,0.0299,0.219,-13.78,0.0321,0.85,110.726,4,Happy
Happy,Ashanti,Ashanti,2002-01-01,262226,65,0.727,0.241,0.727,0.515,3.74e-06,0.124,-6.553,0.0289,0.695,89.488,4,Happy
If It Makes You Happy,Sheryl Crow,Sheryl Crow,1996-09-24,324840,61,0.541,0.0409,0.541,0.692,0.000178,0.108,-7.056,0.0278,0.303,95.446,4,Happy
Girls Just Want to Have Fun,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Cyndi Lauper,2014-03-28,238120,69,0.707,0.214,0.707,0.788,0.000571,0.308,-5.269,0.0333,0.746,120.465,4,Happy
Eye of the Tiger,Rocky IV,Various Artists,1985,245640,78,0.817,0.132,0.817,0.599,0.000311,0.0873,-9.249,0.0328,0.548,108.873,4,Happy
Making Your Mind Up,Get up with Bucks Fizz,Bucks Fizz,2013-12-08,155026,7,0.697,0.17,0.697,0.741,2.8e-05,0.0436,-10.857,0.066,0.981,178.063,4,Happy
Funky Town,Paradas Continuas,Various Artists,2010-02-01,239253,68,0.906,0.000547,0.906,0.63,0.616,0.0994,-8.071,0.0575,0.342,122.458,4,Happy
Twist & Shout,The Best Of Brian Poole,Brian Poole,2009-07-20,140280,5,0.487,0.517,0.487,0.767,0.0248,0.0347,-14.946,0.0605,0.786,148.535,4,Happy
Rock Your Baby,The Deluxe Collection: George Mccrae,George McCrae,2013-12-08,201613,2,0.655,0.0584,0.655,0.582,0.888,0.0603,-12.27,0.045,0.871,105.671,4,Happy
Happy Radio,Summer of Northern Soul,Various Artists,2015-08-28,200346,17,0.774,0.308,0.774,0.627,0.0,0.0834,-6.408,0.04,0.881,129.437,4,Happy
Be Happy (Rerecorded),#throwbackthursday: Reggae,Various Artists,2015-06-16,265800,3,0.624,0.157,0.624,0.707,0.0,0.103,-4.068,0.0568,0.965,68.143,4,Happy
Gimme Hope Jo'anna,#throwbackthursday: Reggae,Various Artists,2015-06-16,243695,18,0.896,0.401,0.896,0.704,0.132,0.0884,-12.148,0.0402,0.98,128.685,4,Happy
In the Summertime,The Deluxe Collection: Mungo Jerry,Mungo Jerry,2013-12-08,210653,6,0.719,0.789,0.719,0.49,5.05e-05,0.154,-11.291,0.0646,0.925,165.195,4,Happy
September,September,"Earth, Wind & Fire",2018-04-17,215080,72,0.694,0.165,0.694,0.831,0.000892,0.25,-7.288,0.0301,0.98,125.901,4,Happy
Three Little Birds,Reggae Summer Holiday,Various Artists,2015-05-26,169946,12,0.828,0.314,0.828,0.437,1.35e-05,0.0656,-11.235,0.0736,0.7,80.543,4,Happy
"Be Young, Be Foolish, Be Happy (Rerecorded)",Tam It Up - (The Dave Cash Collection),The Tams,2011-05-09,162626,1,0.617,0.319,0.617,0.747,5.88e-05,0.154,-11.725,0.0886,0.856,136.333,4,Happy
Happy Boys and Girls,Drill Instructor: The Euro Dance Workout,Union Of Sound,2014-02-09,215528,1,0.69,0.357,0.69,0.663,0.0,0.187,-7.612,0.0345,0.665,132.048,4,Happy
Oh Happy Day,I Am What I Am,Gloria Gaynor,2014-09-27,323400,2,0.7,0.000903,0.7,0.87,0.0,0.13,-13.068,0.047,0.88,130.043,4,Happy
The Loco-Motion (Remastered),Let's Hear It for the Little People (The Dave Cash Collection),Various Artists,2013-07-14,147252,2,0.641,0.423,0.641,0.918,0.0297,0.0958,-3.458,0.0457,0.873,129.749,4,Happy
Celebration,Cha Cha Slide: Cheesy Party Songs,We Just Wanna Party,2012-08-08,208930,1,0.641,0.0574,0.641,0.881,9.91e-06,0.0706,-5.411,0.042,0.932,126.031,4,Happy
We Go Together,Time Of Your Life: Graduation Party,We Just Wanna Party,2011-07-03,152520,2,0.737,0.115,0.737,0.58,0.0,0.368,-11.77,0.0352,0.796,105.912,4,Happy
Dancing in the Moonlight,100 Songs: Ultimate Summer Party,Pop Mania,2013-06-01,227386,2,0.728,0.125,0.728,0.669,0.0,0.221,-6.702,0.0291,0.948,118.911,4,Happy
Twist And Shout - Remastered,Please Please Me (Remastered),The Beatles,1963-03-22,155226,0,0.482,0.641,0.482,0.849,7.74e-06,0.0414,-9.198,0.0452,0.937,124.631,4,Happy
Hooked on a Feeling,Hooked On A Feeling,Blue Swede,1973,172866,77,0.547,0.261,0.547,0.82,0.0,0.3,-6.728,0.0805,0.933,118.208,4,Happy
Don't Stop Me Now,Jazz,Queen,1978-11-10,209447,0,0.566,0.0175,0.566,0.876,0.0114,0.677,-4.6,0.187,0.642,156.291,4,Happy
Uptown Funk (feat. Bruno Mars),Uptown Funk (feat. Bruno Mars),Mark Ronson,2014-11-24,270626,25,0.853,0.00966,0.853,0.681,5.71e-05,0.0233,-5.003,0.0888,0.93,114.989,4,Happy
Video Killed The Radio Star,I Am Happy,Various Artists,2010-01-01,251533,0,0.679,0.139,0.679,0.79,0.00669,0.165,-6.934,0.059,0.369,131.177,4,Happy
Come,Zanaka,Jain,2016-10-21,162266,63,0.818,0.232,0.818,0.783,0.00886,0.0803,-6.534,0.0444,0.819,99.992,4,Happy
Wake Me Up Before You Go-Go,80s 100 Hits,Various Artists,2010-02-26,223066,57,0.586,0.144,0.586,0.651,0.0,0.489,-10.16,0.048,0.901,81.397,4,Happy
My Girl,My Girl,High Tropics,2021-02-05,165809,48,0.692,0.0881,0.692,0.832,0.0674,0.183,-4.414,0.0291,0.858,112.007,4,Happy
Celebration - Single Version,Celebration / Morning Star,Kool & The Gang,1980,215653,0,0.843,0.0466,0.843,0.656,0.0187,0.169,-11.184,0.0595,0.931,121.112,4,Happy
Mr. Brightside,Hot Fuss,The Killers,2004-06-15,222075,0,0.351,0.00113,0.351,0.928,0.0,0.0988,-3.71,0.0759,0.239,148.03,4,Happy
Preach,Preach,Camo Columbo,2021-01-15,175483,50,0.833,0.75,0.833,0.323,0.0111,0.137,-6.3,0.0982,0.678,93.031,4,Happy
Country House,Blur: The Best Of,Blur,2000-10-23,237733,56,0.341,0.147,0.341,0.894,0.0,0.0741,-6.66,0.0765,0.672,174.982,4,Happy
Posh Kid,Posh Kid,Gasch,2021-03-12,156000,42,0.806,0.414,0.806,0.467,0.00304,0.0881,-11.021,0.12,0.565,101.048,4,Happy
Don't Start Now,Future Nostalgia,Dua Lipa,2020-03-27,183290,86,0.793,0.0123,0.793,0.793,0.0,0.0951,-4.521,0.083,0.679,123.95,4,Happy
I Got You (I Feel Good),Golden Moments,Various Artists,2010-09-06,168000,0,0.598,0.331,0.598,0.531,1.51e-06,0.0938,-7.484,0.0954,0.696,70.469,3,Happy
All About That Bass,All About That Bass,Meghan Trainor,2014-06-30,188754,64,0.811,0.0476,0.811,0.879,1.91e-06,0.109,-3.724,0.0514,0.962,134.064,4,Happy
Homesick,Homesick,Arya,2021-03-20,166400,44,0.741,0.439,0.741,0.711,0.0,0.116,-9.359,0.126,0.801,74.989,4,Happy
Cassy O',Wanted on Voyage,George Ezra,2014-06-27,184133,2,0.544,0.0462,0.544,0.847,0.0,0.336,-4.794,0.0385,0.168,97.974,4,Happy
No Ordinary Love,No Ordinary Love,3409,2021-02-11,202641,51,0.771,0.00174,0.771,0.616,5.41e-05,0.117,-6.851,0.0416,0.336,106.013,4,Happy
Little Talks,Little Talks,Of Monsters and Men,2011-01-01,267413,0,0.466,0.0209,0.466,0.801,0.0,0.241,-5.175,0.0354,0.379,103.197,4,Happy
Shiny Happy People,Out Of Time (U.S. Version),R.E.M.,1991-01-01,224800,0,0.491,0.00361,0.491,0.87,0.126,0.184,-5.99,0.0308,0.814,124.444,4,Happy
The Wire,Days Are Gone (Deluxe Edition),HAIM,2013-01-01,245800,62,0.548,0.0126,0.548,0.632,4.95e-06,0.0769,-5.569,0.145,0.535,113.682,4,Happy
